FILE_NAME,STATES,INPUTS,LSTAR_rndWords_MQ_SYM,LSTAR_rndWords_MQ_RST,LSTAR_rndWords_EQ_SYM,LSTAR_rndWords_EQ_RST,LSTAR_rndWords_TOTAL_SYM,LSTAR_rndWords_TOTAL_RST,LSTAR_rndWords_EQs,LSTAR_rndWalk_MQ_SYM,LSTAR_rndWalk_MQ_RST,LSTAR_rndWalk_EQ_SYM,LSTAR_rndWalk_EQ_RST,LSTAR_rndWalk_TOTAL_SYM,LSTAR_rndWalk_TOTAL_RST,LSTAR_rndWalk_EQs,LSTAR_wp_MQ_SYM,LSTAR_wp_MQ_RST,LSTAR_wp_EQ_SYM,LSTAR_wp_EQ_RST,LSTAR_wp_TOTAL_SYM,LSTAR_wp_TOTAL_RST,LSTAR_wp_EQs,LIP_wp_rndWalk_MQ_SYM,LIP_wp_rndWalk_MQ_RST,LIP_wp_rndWalk_EQ_SYM,LIP_wp_rndWalk_EQ_RST,LIP_wp_rndWalk_TOTAL_SYM,LIP_wp_rndWalk_TOTAL_RST,LIP_wp_rndWalk_EQs,LIP_wp_rndWalk_COMPONENTS,LIP_wp_rndWalk_ROUNDS,LIP_wp_rndWords_MQ_SYM,LIP_wp_rndWords_MQ_RST,LIP_wp_rndWords_EQ_SYM,LIP_wp_rndWords_EQ_RST,LIP_wp_rndWords_TOTAL_SYM,LIP_wp_rndWords_TOTAL_RST,LIP_wp_rndWords_EQs,LIP_wp_rndWords_COMPONENTS,LIP_wp_rndWords_ROUNDS,LIP_rndWalk_rndWalk_MQ_SYM,LIP_rndWalk_rndWalk_MQ_RST,LIP_rndWalk_rndWalk_EQ_SYM,LIP_rndWalk_rndWalk_EQ_RST,LIP_rndWalk_rndWalk_TOTAL_SYM,LIP_rndWalk_rndWalk_TOTAL_RST,LIP_rndWalk_rndWalk_EQs,LIP_rndWalk_rndWalk_COMPONENTS,LIP_rndWalk_rndWalk_ROUNDS,LIP_rndWords_rndWords_MQ_SYM,LIP_rndWords_rndWords_MQ_RST,LIP_rndWords_rndWords_EQ_SYM,LIP_rndWords_rndWords_EQ_RST,LIP_rndWords_rndWords_TOTAL_SYM,LIP_rndWords_rndWords_TOTAL_RST,LIP_rndWords_rndWords_EQs,LIP_rndWords_rndWords_COMPONENTS,LIP_rndWords_rndWords_ROUNDS,LIP_wp_wp_MQ_SYM,LIP_wp_wp_MQ_RST,LIP_wp_wp_EQ_SYM,LIP_wp_wp_EQ_RST,LIP_wp_wp_TOTAL_SYM,LIP_wp_wp_TOTAL_RST,LIP_wp_wp_EQs,LIP_wp_wp_COMPONENTS,LIP_wp_wp_ROUNDS,CACHE,
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_7.txt","144","16","3275462","96114","11800","118","3287262","96232","3",,,,,,,,"293616","42346","34404998","3893363","34698614","3935709","3","2280480","65609","35177659","3984503","37458139","4050112","64","2","20","3521617","69364","35289609","3984814","38811226","4054178","50","3","14",,,,,,,,,,"3013605","60255","145000","1450","3158605","61705","49","3","14",,,,,,,,,,"true","144"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_10.txt","162","16","214288","41488","10000","100","224288","41588","1",,,,,,,,"214288","41488","37096277","5144166","37310565","5185654","1","511","199","37107141","5144321","37107652","5144520","38","5","12","511","199","37205700","5144751","37206211","5144950","38","5","12",,,,,,,,,,"1686","355","122700","1227","124386","1582","38","5","12",,,,,,,,,,"true","162"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_17.txt","168","18","374562","54450","10000","100","384562","54550","1",,,,,,,,"374562","54450","68133633","7558571","68508195","7613021","1","3069","697","70689073","7820799","70692142","7821496","44","5","14","3069","697","70806383","7821297","70809452","7821994","44","5","14",,,,,,,,,,"18531","1283","143600","1436","162131","2719","44","5","14",,,,,,,,,,"true","168"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_10.txt","192","17","314449","55505","10000","100","324449","55605","1",,,,,,,,"314449","55505","51024889","6656543","51339338","6712048","1","727","261","51051743","6659569","51052470","6659830","39","6","12","727","261","51150770","6660099","51151497","6660360","39","6","12",,,,,,,,,,"2114","422","122800","1228","124914","1650","39","6","12",,,,,,,,,,"true","192"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_14.txt","192","15","244815","43215","10000","100","254815","43315","1",,,,,,,,"244815","43215","34780919","4537677","35025734","4580892","1","335","129","34808767","4541397","34809102","4541526","31","7","9","335","129","34881065","4541836","34881400","4541965","31","7","9",,,,,,,,,,"839","188","92300","923","93139","1111","31","7","9",,,,,,,,,,"true","192"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_10.txt","216","17","343349","62441","10000","100","353349","62541","1",,,,,,,,"343349","62441","64268242","8554328","64611591","8616769","1","517","199","64285639","8555719","64286156","8555918","39","6","12","517","199","64384544","8556194","64385061","8556393","39","6","12",,,,,,,,,,"3215","422","122800","1228","126015","1650","39","6","12",,,,,,,,,,"true","216"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_17.txt","224","15","429315","50415","10000","100","439315","50515","1",,,,,,,,"429315","50415","53473972","5084470","53903287","5134885","1","51152","6840","53809778","5111021","53860930","5117861","39","3","13","51152","6840","53917440","5111290","53968592","5118130","39","3","13",,,,,,,,,,"73032","7670","132900","1329","205932","8999","39","3","13",,,,,,,,,,"true","224"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_17.txt","224","19","583395","80883","10000","100","593395","80983","1",,,,,,,,"583395","80883","111128651","12030843","111712046","12111726","1","2997","674","111148182","12032072","111151179","12032746","45","6","14","2997","674","111265076","12032565","111268073","12033239","45","6","14",,,,,,,,,,"20249","1421","144400","1444","164649","2865","45","6","14",,,,,,,,,,"true","224"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_4.txt","256","18","497682","82962","10000","100","507682","83062","1",,,,,,,,"497682","82962","98572026","12281379","99069708","12364341","1","729","253","98634894","12290235","98635623","12290488","40","7","12","729","253","98733621","12290748","98734350","12291001","40","7","12",,,,,,,,,,"4529","533","122900","1229","127429","1762","40","7","12",,,,,,,,,,"true","256"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_6.txt","256","18","497682","82962","10000","100","507682","83062","1",,,,,,,,"497682","82962","90462622","11324229","90960304","11407191","1","694","246","90524532","11333185","90525226","11333431","40","7","12","694","246","90623275","11333717","90623969","11333963","40","7","12",,,,,,,,,,"6884","476","123300","1233","130184","1709","40","7","12",,,,,,,,,,"true","256"
