,STATES,inputs,LSTAR_rndWords_total_sym_mean,LSTAR_rndWords_total_sym_std,LSTAR_rndWords_total_reset_mean,LSTAR_rndWords_total_reset_std,LSTAR_rndWords_mq_sym_mean,LSTAR_rndWords_mq_sym_std,LSTAR_rndWords_mq_reset_mean,LSTAR_rndWords_mq_reset_std,LSTAR_rndWords_eq_sym_mean,LSTAR_rndWords_eq_sym_std,LSTAR_rndWords_eq_reset_mean,LSTAR_rndWords_eq_reset_std,LSTAR_rndWords_eqs,LSTAR_wp_total_sym_mean,LSTAR_wp_total_sym_std,LSTAR_wp_total_reset_mean,LSTAR_wp_total_reset_std,LSTAR_wp_mq_sym_mean,LSTAR_wp_mq_sym_std,LSTAR_wp_mq_reset_mean,LSTAR_wp_mq_reset_std,LSTAR_wp_eq_sym_mean,LSTAR_wp_eq_sym_std,LSTAR_wp_eq_reset_mean,LSTAR_wp_eq_reset_std,LSTAR_wp_eqs,LIP_wp_rndWalk_total_sym_mean,LIP_wp_rndWalk_total_sym_std,LIP_wp_rndWalk_total_reset_mean,LIP_wp_rndWalk_total_reset_std,LIP_wp_rndWalk_mq_sym_mean,LIP_wp_rndWalk_mq_sym_std,LIP_wp_rndWalk_mq_reset_mean,LIP_wp_rndWalk_mq_reset_std,LIP_wp_rndWalk_eq_sym_mean,LIP_wp_rndWalk_eq_sym_std,LIP_wp_rndWalk_eq_reset_mean,LIP_wp_rndWalk_eq_reset_std,LIP_wp_rndWalk_eqs,LIP_wp_rndWalk_components,LIP_wp_rndWalk_rounds,LIP_wp_rndWords_total_sym_mean,LIP_wp_rndWords_total_sym_std,LIP_wp_rndWords_total_reset_mean,LIP_wp_rndWords_total_reset_std,LIP_wp_rndWords_mq_sym_mean,LIP_wp_rndWords_mq_sym_std,LIP_wp_rndWords_mq_reset_mean,LIP_wp_rndWords_mq_reset_std,LIP_wp_rndWords_eq_sym_mean,LIP_wp_rndWords_eq_sym_std,LIP_wp_rndWords_eq_reset_mean,LIP_wp_rndWords_eq_reset_std,LIP_wp_rndWords_eqs,LIP_wp_rndWords_components,LIP_wp_rndWords_rounds,LIP_rndWords_rndWords_total_sym_mean,LIP_rndWords_rndWords_total_sym_std,LIP_rndWords_rndWords_total_reset_mean,LIP_rndWords_rndWords_total_reset_std,LIP_rndWords_rndWords_mq_sym_mean,LIP_rndWords_rndWords_mq_sym_std,LIP_rndWords_rndWords_mq_reset_mean,LIP_rndWords_rndWords_mq_reset_std,LIP_rndWords_rndWords_eq_sym_mean,LIP_rndWords_rndWords_eq_sym_std,LIP_rndWords_rndWords_eq_reset_mean,LIP_rndWords_rndWords_eq_reset_std,LIP_rndWords_rndWords_eqs,LIP_rndWords_rndWords_components,LIP_rndWords_rndWords_rounds,LIP_wp_rndWords_TOTAL_SYM_progress,LIP_wp_rndWalk_TOTAL_SYM_progress,LIP_rndWords_rndWords_TOTAL_SYM_progress,LIP_wp_rndWords_TOTAL_RST_progress,LIP_wp_rndWalk_TOTAL_RST_progress,LIP_rndWords_rndWords_TOTAL_RST_progress,LIP_wp_rndWords_MQ_SYM_progress,LIP_wp_rndWalk_MQ_SYM_progress,LIP_rndWords_rndWords_MQ_SYM_progress,LIP_wp_rndWords_MQ_RST_progress,LIP_wp_rndWalk_MQ_RST_progress,LIP_rndWords_rndWords_MQ_RST_progress,LIP_wp_rndWords_EQ_SYM_progress,LIP_wp_rndWalk_EQ_SYM_progress,LIP_rndWords_rndWords_EQ_SYM_progress,LIP_wp_rndWords_EQ_RST_progress,LIP_wp_rndWalk_EQ_RST_progress,LIP_rndWords_rndWords_EQ_RST_progress,LIP_wp_rndWords_TOTAL_SYM_pvalue,LIP_wp_rndWalk_TOTAL_SYM_pvalue,LIP_rndWords_rndWords_TOTAL_SYM_pvalue,LIP_wp_rndWords_TOTAL_RST_pvalue,LIP_wp_rndWalk_TOTAL_RST_pvalue,LIP_rndWords_rndWords_TOTAL_RST_pvalue
0,"(0, 100]",9.437869822485206,193374.60946745562,592999.2144964194,7376.603550295858,14022.257333143338,183320.76331360947,592798.573270298,7276.065088757397,14020.402827810316,10053.846153846154,253.0763107199465,100.53846153846153,2.5307631071994674,1.136094674556213,2377945.1360946745,4183649.03300284,309282.0295857988,512623.5861427586,24755.384615384617,36893.51300073923,4385.692307692308,5786.816138759683,2353189.75147929,4147456.608225805,304896.3372781065,506941.05247302953,1.1538461538461537,2614950.976331361,4668928.720158321,312280.7218934911,519703.47355770104,257418.39053254438,1059418.3443425796,8524.810650887574,32040.112028661377,2357532.5857988168,4155429.4074814236,303755.91124260356,506333.94243329734,27.449704142011836,3.0059171597633134,9.562130177514794,2633813.6213017753,4446091.530630255,308180.76331360947,510389.0610729192,220112.73372781064,767250.9311881228,4497.372781065089,14921.535669069131,2413700.8875739644,4174800.508888588,303683.3905325444,506217.7598557113,22.49112426035503,3.094674556213018,7.34319526627219,338668.88165680476,934825.9152923989,6141.905325443787,17976.273553877632,263400.8343195266,918152.5722039525,5389.224852071006,17806.93364211971,75268.04733727811,33686.41872154799,752.6804733727811,336.86418721547994,22.68639053254438,3.094674556213018,7.34319526627219,-10.760066804035539,-9.966833828047172,-75.13616838812634,0.3560718589645129,-0.9695656458631907,16.73803148608347,-789.1509348273999,-939.8480756084385,-43.68303380284482,-2.5464730659946033,-94.37776416588636,25.93215170108688,-2.571451624614429,-0.1845509618081831,-648.6492849155436,0.39782266864547555,0.3740373025415189,-648.6492849155436,0.999958199603062,0.9978247024368635,0.9999922963966631,0.37738556974884896,0.7832757339719244,0.036560686615481355
1,"(100, 200]",15.666666666666666,833301.6666666666,1418212.6308271962,47154.791666666664,31550.570889865834,823030.8333333334,1417646.4792060072,47052.083333333336,31545.36352746169,10270.833333333334,674.0398431435101,102.70833333333333,6.740398431435101,1.3333333333333333,31997568.166666668,15490050.0969716,3888885.1666666665,1878829.0776553096,229395.0,80316.19827472133,36273.666666666664,12487.033029669537,31768173.166666668,15414187.932875423,3852611.5,1866668.4053888978,1.3333333333333333,32307289.083333332,14323014.980473122,3887398.8333333335,1791774.4553521983,518382.5833333333,1480222.6300807039,25259.333333333332,68551.64171228341,31788906.5,14238797.684613192,3862139.5,1793872.4392643103,55.333333333333336,4.416666666666667,19.583333333333332,32379547.5,14471039.691356013,3871528.0833333335,1795436.6193480364,504857.5833333333,1181290.2847076901,10849.25,22849.93812235937,31874689.916666668,14254210.613951072,3860678.8333333335,1794565.5173715244,38.666666666666664,4.666666666666667,12.0,631741.7916666666,1148914.1313491727,12348.25,22128.71498705383,508470.9583333333,1131722.453188885,11115.541666666666,21954.259655968057,123270.83333333333,26666.77592821819,1232.7083333333333,266.6677592821819,38.75,4.666666666666667,12.0,-1.1937761374355205,-0.967951423850133,24.188104147957624,0.4463254271971917,0.03822003658202622,73.81337174111857,-120.0822089990337,-125.97815267696913,38.21969509040265,70.09056156440391,30.36454360831089,76.37609032543725,-0.33529391016970944,-0.06526448097772253,-1100.2028397565923,-0.209399087692419,-0.2473127643418005,-1100.2028397565923,0.6586321202669394,0.6374441516626492,0.006962511282273553,0.4305562934225726,0.49377128173058027,6.819136488089728e-11
2,"(200, 300]",17.625,532966.625,175303.42612657824,80136.625,24688.56537448055,522966.625,175303.42612657824,80036.625,24688.56537448055,10000.0,0.0,100.0,0.0,1.0,91211445.6875,38016356.53946727,10806880.3125,4541046.156949501,522966.625,175303.42612657824,80036.625,24688.56537448055,90688479.0625,37852887.13506028,10726843.6875,4516967.671775874,1.0,92890388.375,38453817.23607836,11007383.0,4596444.505402758,9753.25,20656.595148604076,1464.375,2617.1315563672633,92880635.125,38460100.73478929,11005918.625,4597491.938544607,41.625,5.625,13.0,93003376.625,38472282.08683096,11007947.125,4596526.146650357,9753.25,20656.595148604076,1464.375,2617.1315563672633,92993623.375,38478561.504050456,11006482.75,4597573.620551077,41.625,5.625,13.0,151121.8125,38707.9238661694,3086.5,2619.688963725783,17728.0625,24174.6958104785,1752.5625,2555.8740962405273,133393.75,23905.214737932536,1333.9375,239.05214737932528,41.625,5.625,13.0,-1.9645899963468771,-1.8407149177881,71.64516399127243,-1.8605444558077666,-1.8553244016969783,96.14845272058812,98.13501483005727,98.13501483005727,96.61009677242788,98.17036887799804,98.17036887799804,97.81029934733006,-2.541827072556102,-2.4172376526341743,-1233.9375,-2.6069090838516162,-2.6016500811436805,-1233.9375,0.8860096127891509,0.8714556896963453,2.5994926169249354e-08,0.881114052979628,0.8804767424405646,1.8326226617761163e-09
3,"(300, 400]",18.0,1656498.4,1673810.1921579465,135341.6,42511.00955752521,1645998.4,1672763.558903064,135236.6,42501.748226004376,10500.0,1136.270703270621,105.0,11.36270703270621,1.4,159853219.1,47800367.18272762,17043609.6,4462662.204664616,900538.2,207302.1313026526,121740.0,21937.146122501894,158952680.9,47620142.84483018,16921869.6,4443830.854341736,1.4,148999089.8,41263166.13534559,15815035.2,3822023.3302623252,2127349.8,4474847.163705464,89472.8,186582.85401921463,146871740.0,40456139.72904724,15725562.4,3803764.7648489047,85.6,4.4,32.4,148020590.6,40793059.694015235,15747670.4,3807127.2550551,1033824.6,2169494.3686467693,21739.2,43789.39048267793,146986766.0,40461882.58478965,15725931.2,3803755.841878299,45.8,5.0,14.0,797162.1,1468388.8291783126,16057.8,30096.94748567628,652672.1,1462073.86327629,14612.9,30032.571053774267,144490.0,12798.476471830554,1444.9,127.98476471830546,45.0,5.0,14.0,7.402183432163367,6.790059881878219,51.87667552229449,7.6036663031755936,7.208416695956254,88.13535527879085,-14.800749152007109,-136.2309339015269,60.347950520486535,82.1429275505175,26.505010678495154,89.1945671512002,7.527972999416088,7.6003379317649555,-1276.095238095238,7.067412929360961,7.069592357572596,-1276.0952380952383,0.011127191635819704,0.022969249690320666,0.0016416120072580676,0.004736734916963949,0.007782388008788011,5.174117663480889e-08
4,"(400, 500]",19.6,1092914.0,245386.51452759173,169874.0,25997.563424290358,1082914.0,245386.51452759173,169774.0,25997.563424290358,10000.0,0.0,100.0,0.0,1.0,244298215.2,71258476.53612491,29083658.5,7157842.599061929,1082914.0,245386.51452759173,169774.0,25997.563424290358,243215301.2,71023849.33381172,28913884.5,7132523.47930287,1.0,233570272.0,77140181.83122212,27745261.2,7618787.391661991,1833.2,2136.933358291217,485.6,414.3614096145752,233568438.8,77138369.34224033,27744775.6,7618487.276867286,46.4,6.2,14.4,233696858.4,77156383.73245707,27745963.2,7618801.626599244,1833.2,2136.933358291217,485.6,414.3614096145752,233695025.2,77154571.26059677,27745477.6,7618501.5135339685,46.4,6.2,14.4,153829.5,24424.62292782976,2236.2,723.573201395531,6339.5,6723.931939142619,761.3,562.2998508111328,147490.0,18908.63706234681,1474.9,189.08637062346813,46.4,6.2,14.4,4.339514634325492,4.391330976862573,85.92483031601755,4.599473962328371,4.601887688923323,98.68361255989734,99.83071601253654,99.83071601253654,99.41458878544373,99.71397269310967,99.71397269310967,99.55158033621167,3.9143408959172787,3.9663879502660038,-1374.9,4.040989027261277,4.043416926563426,-1374.9,0.017783560514809543,0.016906262196066682,1.4929019230976915e-07,0.010370378751524289,0.01034624701218956,3.1121974817971512e-09
5,"(500, 600]",21.5,2055351.5,501709.63485181634,260361.5,47369.28311831265,2045351.5,501709.63485181634,260261.5,47369.28311831265,10000.0,0.0,100.0,0.0,1.0,462347930.125,147973222.60655805,46958144.0,13067422.225445066,2045351.5,501709.63485181634,260261.5,47369.28311831265,460302578.625,147479926.42700624,46697882.5,13020689.616703322,1.0,508218818.0,156203540.2230535,51443806.5,13711975.6689285,3645.0,1516.4848451976982,815.25,272.36779230612836,508215173.0,156202281.77529445,51442991.25,13711763.194403064,53.0,5.75,16.75,508366781.5,156224098.77222842,51444416.5,13712064.85794897,3645.0,1516.4848451976982,815.25,272.36779230612836,508363136.5,156222840.28516284,51443601.25,13711852.383381266,53.0,5.75,16.75,193374.625,36261.32262554098,3209.25,853.3715904742618,19862.125,12265.704247878659,1474.125,609.8265414970766,173512.5,24926.201790772015,1735.125,249.26201790772,53.0,5.75,16.75,-9.953294559479996,-9.921291928915599,90.59165184154632,-9.553768777573502,-9.552469748378467,98.76738688323734,99.82179102222773,99.82179102222773,99.02891385661584,99.6867573575039,99.6867573575039,99.43359851533938,-10.441079434871913,-10.408934600827745,-1635.125,-10.162599449771626,-10.161293180691855,-1635.125,0.9970692032757951,0.9970230498420894,4.845016184516772e-06,0.9986269906758536,0.9986260569547623,5.357317790191273e-07
6,"(600, 2000]",21.5625,5012794.9375,2579798.3412462682,415046.4375,97715.14651814477,5001407.4375,2578213.2166027944,414932.5625,97712.76314175052,11387.5,2420.433845408711,113.875,24.204338454087114,1.75,688956289.9375,200844946.2328819,69380261.1875,23068940.273858238,3072170.75,684501.2483212869,380660.6875,88783.01731729161,685884119.1875,200308778.97323856,68999600.5,22987444.54690715,1.875,690396756.375,213378532.13758522,69261160.5625,23942273.50864569,5858100.875,10322706.042151641,242406.9375,399458.2688756476,684538655.5,209012047.4738753,69018753.625,23847307.18726539,180.125,4.0625,76.8125,686001184.5625,208290019.9355384,69031964.5,23824446.00177172,1517947.25,2076311.2852853092,31553.0625,40292.88353289986,684483237.3125,208880899.89903063,69000411.4375,23838600.649522286,56.4375,5.4375,17.125,1844172.625,1968938.3649422473,36354.6875,38263.08800871279,1667297.625,1965114.7038857853,34585.9375,38226.8366037417,176875.0,14080.790697495173,1768.75,140.8079069749517,57.0,5.4375,17.125,0.4289249431583042,-0.20907951034609962,63.210690882166176,0.5020112082869344,0.1716635581381465,91.24081446910384,50.590400940442514,-90.68278919718249,66.66343132737424,91.71097422556933,36.319418983868665,91.66468466788504,0.20424468737656465,0.19616486952546142,-1453.238199780461,-0.0011752785438190472,-0.02775831289052455,-1453.238199780461,0.44030584975437953,0.5276572434024157,2.183074633026974e-07,0.4205917493876087,0.47339428891063234,9.895479525703061e-11
