,File_Name,states,inputs,components,lstar_total_sym_mean,lstar_total_sym_std,lip_total_sym_mean,lip_total_sym_std,total_sym_progress,total_sym_pvalue,lstar_total_reset_mean,lstar_total_reset_std,lip_total_reset_mean,lip_total_reset_std,total_reset_progress,total_reset_pvalue,lstar_mq_sym_mean,lstar_mq_sym_std,lip_mq_sym_mean,lip_mq_sym_std,mq_sym_progress,mq_sym_pvalue,lstar_mq_reset_mean,lstar_mq_reset_std,lip_mq_reset_mean,lip_mq_reset_std,mq_reset_progress,mq_reset_pvalue,lstar_eq_sym_mean,lstar_eq_sym_std,lip_eq_sym_mean,lip_eq_sym_std,eq_sym_progress,eq_sym_pvalue,lstar_eq_reset_mean,lstar_eq_reset_std,lip_eq_reset_mean,lip_eq_reset_std,eq_reset_progress,eq_reset_pvalue,lstar_eqs,lip_eqs
13,2wise_3.txt,4,4,3,2867.6,1.517,2746.0,18.828,0.042,5.287957453951849e-05,620.0,1.0,583.6,5.595,0.059,3.625538840850519e-05,196.0,0.0,51.2,4.147,0.739,8.066572083041597e-08,68.0,0.0,22.8,1.643,0.665,2.0921371962585708e-07,2671.6,1.517,2694.8,17.167,-0.009,0.9844621825548111,552.0,1.0,560.8,4.97,-0.016,0.9957234051400426,1.0,8.0
14,2wise_4.txt,6,5,4,10680.8,1274.448,10402.4,1261.431,0.026,1.8400862735920682e-06,2172.2,255.025,2083.4,248.456,0.041,5.212509126746494e-06,480.0,0.0,107.0,0.0,0.777,0.0,155.0,0.0,44.0,0.0,0.716,0.0,10200.8,1274.448,10295.4,1261.431,-0.009,0.9998673268889886,2017.2,255.025,2039.4,248.456,-0.011,0.9988247275098261,1.0,11.0
15,2wise_5.txt,18,10,8,457520.4,18813.722,452523.4,19037.027,0.011,5.523108629723948e-07,79281.0,2938.075,77951.2,2980.296,0.017,1.564509547319792e-07,6910.0,0.0,300.0,11.314,0.957,1.0298966630446209e-12,1810.0,0.0,118.6,3.209,0.934,1.5554938759979905e-12,450610.4,18813.722,452223.4,19046.593,-0.004,0.9999434479339189,77471.0,2938.075,77832.6,2982.934,-0.005,0.9999667984052044,1.0,24.0
16,2wise_6.txt,6,5,4,10680.8,1273.889,10392.8,1238.142,0.027,3.058868868708274e-05,2172.0,254.355,2080.0,241.509,0.042,4.6051251587676544e-05,480.0,0.0,103.2,1.095,0.785,8.572258669147442e-12,155.0,0.0,42.6,0.548,0.725,6.766198902849792e-11,10200.8,1273.889,10289.6,1237.468,-0.009,0.9970410207022185,2017.0,254.355,2037.4,241.171,-0.01,0.9867987744684422,1.0,11.0
17,2wise_7.txt,39,14,13,4076639.8,500699.15,4326398.0,557036.288,-0.061,0.9355336629220047,510833.4,60450.656,543131.8,63146.568,-0.063,0.941592963739937,60940.0,0.0,17986.8,3961.162,0.705,8.581852801354909e-06,9562.0,0.0,2818.2,478.419,0.705,3.019168674991807e-06,4015699.8,500699.15,4308411.2,560556.769,-0.073,0.9555522254996343,501271.4,60450.656,540313.6,63577.732,-0.078,0.9633543975796086,3.0,46.4
18,2wise_8.txt,18,10,8,451623.8,17933.989,446842.4,17933.974,0.011,1.5095018664224309e-09,78180.2,2968.474,76894.8,2967.05,0.016,1.6337084523599776e-09,6910.0,0.0,298.6,5.128,0.957,4.344288522072166e-14,1810.0,0.0,118.2,1.643,0.935,1.0678546561016901e-13,444713.8,17933.989,446543.8,17933.168,-0.004,0.9999998990158361,76370.2,2968.474,76776.6,2967.24,-0.005,0.9999997527533578,1.0,24.0
19,2wise_9.txt,26,13,12,2182781.8,337650.753,2437231.0,311410.201,-0.117,0.9972786654961273,275064.8,37051.927,310149.0,33547.25,-0.128,0.9984926673413115,37009.0,728.168,16295.8,1187.968,0.56,2.1561217991007456e-06,5843.6,86.312,2585.6,138.527,0.558,5.585813773442835e-07,2145772.8,338096.452,2420935.2,312038.09,-0.128,0.9979933098943965,269221.2,37109.334,307563.4,33617.701,-0.142,0.998940999039384,3.0,41.4
20,3wise_1.txt,28,12,11,1574334.4,155610.936,1555957.8,116495.212,0.012,0.23184668331444208,209039.2,20335.097,206704.8,15523.831,0.011,0.24875092266083473,23052.0,0.0,2846.6,9.45,0.877,5.741352703762825e-15,4044.0,0.0,628.2,2.28,0.845,2.3835152693569788e-14,1551282.4,155610.936,1553111.2,116486.398,-0.001,0.530160513680713,204995.2,20335.097,206076.6,15521.974,-0.005,0.626334310719669,1.0,32.0
21,3wise_10.txt,8,6,4,29885.4,4.615,29041.6,76.569,0.028,6.534942165699707e-06,5605.2,2.49,5375.6,22.501,0.041,7.63719098930276e-06,1014.0,0.0,78.4,0.548,0.923,1.4094922896207793e-14,294.0,0.0,34.8,0.447,0.882,1.0634070245277743e-12,28871.4,4.615,28963.2,76.748,-0.003,0.9760461787777288,5311.2,2.49,5340.8,22.565,-0.006,0.9836968249943939,1.0,12.0
22,3wise_11.txt,32,13,11,2586234.4,418217.784,2624426.0,415539.106,-0.015,0.9999084738219243,324291.4,44766.561,328727.2,44493.49,-0.014,0.9995195204829138,33137.0,0.0,3856.8,437.85,0.884,5.998672016072092e-09,5421.0,0.0,752.0,59.729,0.861,3.2130608965828742e-09,2553097.4,418217.784,2620569.2,415359.148,-0.026,0.9999882123945322,318870.4,44766.561,327975.2,44469.407,-0.029,0.9999690273170999,1.0,33.0
