,LSTAR_rndWords_total_reset_mean,LSTAR_rndWords_total_reset_std,LIP_rndWords_rndWords_total_reset_mean,LIP_rndWords_rndWords_total_reset_std,LIP_rndWords_rndWords_TOTAL_RST_progress,LIP_rndWords_rndWords_TOTAL_RST_pvalue
0,7376.604,14022.257,6141.905,17976.274,16.738,0.036560686615481355
1,47154.792,31550.571,12348.25,22128.715,73.813,6.819136488089728e-11
2,80136.625,24688.565,3086.5,2619.689,96.148,1.8326226617761163e-09
3,135341.6,42511.01,16057.8,30096.947,88.135,5.174117663480889e-08
4,169874.0,25997.563,2236.2,723.573,98.684,3.1121974817971512e-09
5,260361.5,47369.283,3209.25,853.372,98.767,5.357317790191273e-07
6,415046.438,97715.147,36354.688,38263.088,91.241,9.895479525703061e-11
