,File_Name,states,inputs,components,lstar_total_sym_mean,lstar_total_sym_std,lip_total_sym_mean,lip_total_sym_std,total_sym_progress,total_sym_pvalue,lstar_total_reset_mean,lstar_total_reset_std,lip_total_reset_mean,lip_total_reset_std,total_reset_progress,total_reset_pvalue,lstar_mq_sym_mean,lstar_mq_sym_std,lip_mq_sym_mean,lip_mq_sym_std,mq_sym_progress,mq_sym_pvalue,lstar_mq_reset_mean,lstar_mq_reset_std,lip_mq_reset_mean,lip_mq_reset_std,mq_reset_progress,mq_reset_pvalue,lstar_eq_sym_mean,lstar_eq_sym_std,lip_eq_sym_mean,lip_eq_sym_std,eq_sym_progress,eq_sym_pvalue,lstar_eq_reset_mean,lstar_eq_reset_std,lip_eq_reset_mean,lip_eq_reset_std,eq_reset_progress,eq_reset_pvalue,lstar_eqs,lip_eqs
27,3wise_16.txt,8,6,4,,,59373.5,71.594,,,,,5609.5,20.224,,,,,85.5,5.0,,,,,37.0,1.633,,,,,59288.0,74.463,,,,,5572.5,21.063,,,,12.0
28,3wise_17.txt,8,6,4,,,59368.0,39.404,,,,,5607.75,9.605,,,,,87.5,2.517,,,,,37.25,1.258,,,,,59280.5,40.927,,,,,5570.5,10.344,,,,12.0
29,3wise_18.txt,18,8,6,,,278862.25,18938.859,,,,,39722.75,3241.176,,,,,195.25,4.992,,,,,78.5,1.915,,,,,278667.0,18942.023,,,,,39644.25,3242.175,,,,18.0
30,3wise_19.txt,12,7,5,,,119302.5,9475.09,,,,,14390.0,1674.984,,,,,138.5,8.583,,,,,56.75,2.986,,,,,119164.0,9479.672,,,,,14333.25,1676.984,,,,15.0
31,3wise_2.txt,16,10,8,,,410721.25,25645.989,,,,,57932.25,4350.446,,,,,524.25,7.632,,,,,185.5,3.0,,,,,410197.0,25653.39,,,,,57746.75,4353.313,,,,24.0
32,3wise_20.txt,112,13,12,,,11736619.25,591833.78,,,,,1183034.75,57927.658,,,,,51548.0,746.259,,,,,6867.75,79.672,,,,,11685071.25,591411.679,,,,,1176167.0,57894.914,,,,35.0
33,3wise_3.txt,16,10,8,,,442508.25,25893.147,,,,,63317.75,3859.732,,,,,528.5,10.786,,,,,186.5,3.697,,,,,441979.75,25896.469,,,,,63131.25,3860.489,,,,24.0
34,3wise_4.txt,64,17,15,,,14227387.0,1594571.271,,,,,1670922.5,156236.899,,,,,4416.75,575.378,,,,,917.75,78.236,,,,,14222970.25,1594636.563,,,,,1670004.75,156246.111,,,,45.0
35,3wise_5.txt,12,7,5,,,123359.5,8258.889,,,,,15102.75,1466.781,,,,,140.5,3.873,,,,,58.25,1.258,,,,,123219.0,8257.906,,,,,15044.5,1466.623,,,,15.0
36,3wise_6.txt,12,7,5,,,123373.75,8199.149,,,,,15107.25,1449.821,,,,,142.5,10.786,,,,,58.5,3.873,,,,,123231.25,8208.816,,,,,15048.75,1453.475,,,,15.0
37,3wise_7.txt,32,13,11,,,2854326.75,371817.338,,,,,340332.75,39888.547,,,,,3729.25,468.456,,,,,734.5,65.184,,,,,2850597.5,372084.398,,,,,339598.25,39922.809,,,,33.0
38,3wise_8.txt,8,5,4,,,44037.5,2918.667,,,,,2811.5,532.555,,,,,146.5,3.786,,,,,53.25,1.893,,,,,43891.0,2916.584,,,,,2758.25,531.51,,,,11.0
39,3wise_9.txt,36,12,9,,,2088415.0,101374.063,,,,,317738.0,15425.089,,,,,344.5,6.557,,,,,135.75,0.957,,,,,2088070.5,101377.731,,,,,317602.25,15425.907,,,,28.0
40,4wise_1.txt,16,7,5,,,148450.25,9761.209,,,,,18447.25,1580.812,,,,,181.25,7.932,,,,,68.0,2.828,,,,,148269.0,9763.899,,,,,18379.25,1582.009,,,,15.0
41,4wise_10.txt,162,16,12,,,35143367.0,2434083.033,,,,,4876184.0,327049.535,,,,,521.25,10.436,,,,,201.75,4.992,,,,,35142845.75,2434081.407,,,,,4875982.25,327048.884,,,,38.0
42,4wise_11.txt,16,8,5,,,238296.75,148.771,,,,,33499.25,36.28,,,,,103.5,3.873,,,,,45.5,1.291,,,,,238193.25,149.087,,,,,33453.75,35.957,,,,16.0
43,4wise_12.txt,288,20,17,,,160987889.0,21542576.334,,,,,17089632.0,2020729.32,,,,,10350.25,1259.844,,,,,1886.75,155.654,,,,,160977538.75,21543120.95,,,,,17087745.25,2020796.626,,,,52.0
44,4wise_13.txt,84,16,13,,,17810596.0,1989224.722,,,,,2115935.5,204654.126,,,,,2968.25,30.685,,,,,670.5,9.469,,,,,17807627.75,1989240.557,,,,,2115265.0,204657.709,,,,40.0
45,4wise_16.txt,96,15,13,,,18849768.25,529233.359,,,,,1858196.5,39274.555,,,,,3417409.5,782630.385,,,,,67568.0,14661.436,,,,,15432358.75,400663.761,,,,,1790628.5,49056.315,,,,44.75
46,4wise_17.txt,224,15,13,,,47610337.0,5945109.647,,,,,4536619.75,544796.302,,,,,54719.5,4986.14,,,,,7227.5,542.421,,,,,47555617.5,5948453.3,,,,,4529392.25,545165.859,,,,39.0
47,4wise_18.txt,64,15,12,,,9964422.5,856220.5,,,,,1166831.0,84947.273,,,,,3759.5,492.0,,,,,751.25,66.64,,,,,9960663.0,856529.339,,,,,1166079.75,84989.127,,,,37.0
48,4wise_19.txt,16,8,5,,,238408.5,100.414,,,,,33530.25,26.437,,,,,109.0,7.439,,,,,47.5,2.38,,,,,238299.5,95.797,,,,,33482.75,24.985,,,,16.0
49,4wise_2.txt,56,15,12,,,9009344.25,574418.771,,,,,1085753.5,62477.006,,,,,2884.75,22.456,,,,,643.0,6.782,,,,,9006459.5,574436.589,,,,,1085110.5,62483.001,,,,37.0
50,4wise_20.txt,52,13,11,,,4964540.0,462841.247,,,,,612602.75,49720.757,,,,,5410.25,24.35,,,,,1106.25,2.986,,,,,4959129.75,462859.138,,,,,611496.5,49723.596,,,,33.0
51,4wise_3.txt,24,8,6,,,324602.0,60826.39,,,,,45073.75,9839.808,,,,,234.5,13.304,,,,,88.75,4.573,,,,,324367.5,60828.739,,,,,44985.0,9840.602,,,,18.0
52,4wise_4.txt,56,15,12,,,9292983.0,882735.074,,,,,1112981.0,87218.313,,,,,2872.5,10.786,,,,,639.0,2.944,,,,,9290110.5,882744.91,,,,,1112342.0,87221.06,,,,37.0
53,4wise_5.txt,36,10,7,,,1295527.0,511.311,,,,,195447.75,120.608,,,,,226.5,4.123,,,,,91.25,1.5,,,,,1295300.5,514.667,,,,,195356.5,121.574,,,,22.0
54,4wise_6.txt,24,9,6,,,521665.5,43635.977,,,,,77055.75,7021.019,,,,,161.0,6.481,,,,,68.0,2.16,,,,,521504.5,43630.792,,,,,76987.75,7019.293,,,,19.0
55,4wise_7.txt,144,16,14,,,40815933.0,2057856.536,,,,,4264115.5,259958.284,,,,,3385173.0,900394.505,,,,,66937.75,16991.78,,,,,37430760.0,2427324.213,,,,,4197177.75,268198.636,,,,48.5
56,4wise_8.txt,52,12,11,,,3615862.75,255244.448,,,,,446463.0,31572.283,,,,,14411.75,23.027,,,,,2639.75,6.238,,,,,3601451.0,255230.09,,,,,443823.25,31568.055,,,,32.0
57,4wise_9.txt,56,15,12,,,8173893.0,75018.918,,,,,1005400.5,9664.033,,,,,2857.5,27.887,,,,,635.5,7.853,,,,,8171035.5,75041.709,,,,,1004765.0,9670.292,,,,37.0
58,5wise_1.txt,120,15,12,,,22889039.5,821182.286,,,,,2576717.75,79147.508,,,,,7141.25,753.396,,,,,1335.75,99.604,,,,,22881898.25,821455.825,,,,,2575382.0,79205.181,,,,37.0
59,5wise_10.txt,216,17,12,,,58421031.0,4568335.375,,,,,7761389.25,594566.207,,,,,501.5,30.315,,,,,195.25,9.215,,,,,58420529.5,4568347.717,,,,,7761194.0,594568.149,,,,39.0
60,5wise_11.txt,32,10,6,,,1093803.75,756.029,,,,,161355.25,175.264,,,,,141.25,14.592,,,,,60.5,5.066,,,,,1093662.5,763.524,,,,,161294.75,177.686,,,,20.0
61,5wise_13.txt,48,12,9,,,2952998.75,168344.191,,,,,413610.75,26082.883,,,,,879.0,27.641,,,,,269.25,9.142,,,,,2952119.75,168347.244,,,,,413341.5,26082.731,,,,28.0
62,5wise_14.txt,576,23,18,,,597590729.5,18050584.603,,,,,60083058.0,1683175.632,,,,,4391.75,371.882,,,,,927.0,48.069,,,,,597586337.75,18050314.197,,,,,60082131.0,1683140.158,,,,57.0
63,5wise_16.txt,96,15,11,,,15248538.25,752288.387,,,,,2118709.75,100335.837,,,,,696.75,11.087,,,,,247.75,4.113,,,,,15247841.5,752282.306,,,,,2118462.0,100333.897,,,,35.0
64,5wise_17.txt,168,18,14,,,64882732.75,5504650.211,,,,,7266917.0,518527.324,,,,,3037.0,24.509,,,,,692.25,7.805,,,,,64879695.75,5504660.701,,,,,7266224.75,518529.472,,,,44.0
