"FILE_NAME","STATES","INPUTS","LSTAR_MQ_SYM","LSTAR_MQ_RST","LSTAR_EQ_SYM","LSTAR_EQ_RST","LSTAR_TOTAL_SYM","LSTAR_TOTAL_RST","LSTAR_EQs","CLSTAR_MQ_SYM","CLSTAR_MQ_RST","CLSTAR_EQ_SYM","CLSTAR_EQ_RST","CLSTAR_TOTAL_SYM","CLSTAR_TOTAL_RST","CLSTAR_EQs","CLSTAR_COMPONENTS","CLSTAR_ROUNDS","CACHE"
"resources/all_FSMs/96.dot","312","18","724482","101106","74771","500","799253","101606","1","18656","1693","1063244","7101","1081900","8794","44","5","14","true",
"resources/all_FSMs/96.dot","312","18","724482","101106","75735","500","800217","101606","1","21870","1757","1071456","7107","1093326","8864","44","5","14","true",
"resources/all_FSMs/96.dot","312","18","724482","101106","74921","500","799403","101606","1","20321","1720","1071016","7109","1091337","8829","44","5","14","true",
"resources/all_FSMs/97.dot","360","17","787253","104057","74188","500","861441","104557","1","33964","2024","1067374","7110","1101338","9134","43","4","14","true",
"resources/all_FSMs/97.dot","360","17","787253","104057","76656","500","863909","104557","1","27719","1907","1072350","7110","1100069","9017","43","4","14","true",
